precip,tmax,tmin,tmean,trange,vpd,date
0,18.27,6.03,12.15,12.239999999999998,936.38,2000-01-02
0,14.98,1.49,8.235,13.49,680.21,2000-01-03
0,16.06,-2.62,6.719999999999999,18.68,503.52,2000-01-04
0,18.49,-0.65,8.92,19.139999999999997,582.25,2000-01-05
0,18.68,-0.96,8.86,19.64,565.99,2000-01-06
0,17.94,-1.04,8.450000000000001,18.98,565.93,2000-01-07
0,18.91,-0.14,9.385,19.05,601.21,2000-01-08
0,18.93,-1.4,8.765,20.33,541.39,2000-01-09
0,19.25,-1.49,8.88,20.74,515.82,2000-01-10
0,21.55,-0.55,10.5,22.1,516.61,2000-01-11
0,23,0.56,11.78,22.44,550.68,2000-01-12
0,24.13,2.24,13.184999999999999,21.89,617.63,2000-01-13
0,24.94,2.31,13.625,22.630000000000003,611.28,2000-01-14
0,27.31,5.81,16.56,21.5,777.35,2000-01-15
0,27.33,5.71,16.52,21.619999999999997,767.96,2000-01-16
0,26.73,5.91,16.32,20.82,786.01,2000-01-17
0,27.03,8.11,17.57,18.92,933.36,2000-01-18
0,27.05,7.77,17.41,19.28,903.33,2000-01-19
0,26.47,7.2,16.835,19.27,868.2,2000-01-20
0,26.48,8.13,17.305,18.35,934.56,2000-01-21
0,24.59,9.39,16.990000000000002,15.2,1040.41,2000-01-22
0,23.3,9.82,16.560000000000002,13.48,878.13,2000-01-23
0,23.58,5.7,14.639999999999999,17.88,533.91,2000-01-24
0,24.86,6.44,15.65,18.419999999999998,476.76,2000-01-25
0,26.21,8.46,17.335,17.75,546.4,2000-01-26
0,22.84,10.43,16.634999999999998,12.41,824.47,2000-01-27
0,20.39,3.4,11.895,16.990000000000002,276.37,2000-01-28
0,20.7,1.87,11.285,18.83,246.06,2000-01-29
0,21.69,2.16,11.925,19.53,251.57,2000-01-30
0,21.93,4.99,13.46,16.939999999999998,311.32,2000-01-31
0,20.98,6.31,13.645,14.670000000000002,343.48,2000-02-01
0,21.2,3.85,12.525,17.349999999999998,285.96,2000-02-02
0,23.06,4.71,13.885,18.349999999999998,304.84,2000-02-03
0,26.07,5.36,15.715,20.71,320.11,2000-02-04
0,25.52,3.29,14.405,22.23,274.06,2000-02-05
0,25.57,4.57,15.07,21,301.8,2000-02-06
0,25.51,4.99,15.25,20.520000000000003,311.39,2000-02-07
0,27.95,4.79,16.37,23.16,306.83,2000-02-08
0,27.69,7.15,17.42,20.54,365.29,2000-02-09
0,27.46,7.64,17.55,19.82,378.69,2000-02-10
0,26.21,9.26,17.735,16.950000000000003,425.83,2000-02-11
0,22.77,8.72,15.745000000000001,14.049999999999999,409.35,2000-02-12
0,23.44,6.98,15.21,16.46,360.76,2000-02-13
0,21.53,7.56,14.545,13.970000000000002,376.43,2000-02-14
0,24.1,6.48,15.290000000000001,17.62,347.73,2000-02-15
0,26.57,5.73,16.15,20.84,329.11,2000-02-16
0,23.96,7.32,15.64,16.64,369.77,2000-02-17
0,20.59,9.78,15.184999999999999,10.81,442.08,2000-02-18
0,20.65,3.09,11.87,17.56,270.02,2000-02-19
0,24.21,4.73,14.47,19.48,305.33,2000-02-20
0,27.97,9.09,18.53,18.88,420.46,2000-02-21
0,24.66,10.83,17.745,13.83,476.4,2000-02-22
0,20.76,8.27,14.515,12.490000000000002,396.2,2000-02-23
0,22.21,5.56,13.885,16.650000000000002,324.92,2000-02-24
0,20.09,8.98,14.535,11.11,417.37,2000-02-25
0,18.52,3.36,10.94,15.16,275.53,2000-02-26
0,22.03,2.83,12.43,19.200000000000003,264.64,2000-02-27
0,28.27,4.44,16.355,23.83,298.75,2000-02-28
